Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak40921Ct,m01oak40921Ct-t01.1,9.48,F:PF00477,LEA_5,Small hydrophilic plant seed protein
m01oak70110Cz,,9.45,,,
m01oak64510cC,m01oak64510cC-t01.1,9.42,F:PF01699 D:PF13499 D:PF13202 D:PF13405,Na_Ca_ex EF-hand_7 EF-hand_5 EF-hand_6,Sodium/calcium exchanger protein ~ EF-hand domain pair ~ EF hand ~ EF-hand domain
m01oak52995cC,m01oak52995cC-t01.1,9.39,AT1G55190,PRA7,PRA1 (Prenylated rab acceptor) family protein
m01oak10627Cz,,9.37,,,
m01oak46441CC,m01oak46441CC-t01.1,9.37,AT4G23550,WRKY29,WRKY family transcription factor
m01oak26072cC,m01oak26072cC-t01.1,9.34,AT5G01700,,Protein phosphatase 2C family protein
m01oak15224Cz,,9.33,,,
m01oak32752Cz,,9.31,,,
m01oak53930Cz,,9.31,,,
m01oak30171cf,m01oak30171cf-t01.1,9.31,AT4G05230,,Ubiquitin-like superfamily protein
m01oak52852ci,m01oak52852ci-t01.1,9.30,D:PF01476,LysM,LysM domain
m01oak58851Jz,,9.28,,,
m01oak63702Cz,,9.28,,,
m01oak35626Cz,,9.28,,,
m01oak41528Cz,,9.27,,,
m01oak39278Cz,,9.25,,,
m01oak74458Cz,,9.24,,,
m01oak47261Cz,,9.23,,,
m01oak80476Cz,,9.23,,,
m01oak47108JC,m01oak47108JC-t01.1,9.22,D:PF00931,NB-ARC,NB-ARC domain
m01oak49876Cz,,9.21,,,
m01oak77058cf,,9.21,,,
m01oak32136CC,m01oak32136CC-t01.1,9.20,AT5G25320,,ACT-like superfamily protein
m01oak45585Cz,,9.18,,,
m01oak73613Cz,,9.17,,,
m01oak80141Cz,,9.16,,,
m01oak05266cC,m01oak05266cC-t01.1,9.15,D:PF00036 D:PF13833 D:PF13499 D:PF13202 D:PF13405,2x:EF-hand_1 3x:EF-hand_8 2x:EF-hand_7 3x:EF-hand_5 3x:EF-hand_6,EF hand ~ EF-hand domain pair ~ EF-hand domain pair ~ EF hand ~ EF-hand domain
m01oak29264Cz,,9.14,,,
m01oak53418CC,m01oak53418CC-t01.1,9.14,AT1G20180,,Protein of unknown function (DUF677)
m01oak81328Cz,,9.12,,,
m01oak81546Cz,,9.11,,,
m01oak82924Cz,,9.10,,,
m01oak72771Cz,,9.10,,,
m01oak40919cF,m01oak40919cF-t01.1,9.07,D:PF00704,Glyco_hydro_18,Glycosyl hydrolases family 18
m01oak06093Cz,m01oak06093Cz-t01.1,9.07,D:PF00462,Glutaredoxin,Glutaredoxin
m01oak26496cF,m01oak26496cF-t01.1,9.07,D:PF00067,p450,Cytochrome P450
m01oak60695Cz,,9.06,,,
m01oak77668Cz,,9.06,,,
m01oak38794CT,,9.06,,,
m01oak52526cf,m01oak52526cf-t01.1,9.06,F:PF03222 F:PF01490,Trp_Tyr_perm Aa_trans,Tryptophan/tyrosine permease family ~ Transmembrane amino acid transporter protein
m01oak25689Cz,,9.05,,,
m01oak31774Cz,,9.05,,,
m01oak26732CC,,9.04,,,
m01oak22094cT,m01oak22094cT-t01.1,9.01,F:PF01946 D:PF01266 F:PF00890 D:PF13450 F:PF01494,Thi4 DAO FAD_binding_2 NAD_binding_8 FAD_binding_3,Thi4 family ~ FAD dependent oxidoreductase ~ FAD binding domain ~ NAD(P)-binding Rossmann-like domain ~ FAD binding domain
m01oak65891Cz,,9.01,,,
m01oak51218ct,m01oak51218ct-t01.1,9.00,F:PF00141,peroxidase,Peroxidase
m01oak24933Cz,,9.00,,,
m01oak67095Ct,m01oak67095Ct-t01.1,9.00,D:PF00494,2x:SQS_PSY,Squalene/phytoene synthase
m01oak67968CT,,8.99,,,
m01oak29555CT,m01oak29555CT-t01.1,8.99,D:PF13578 D:PF01596,Methyltransf_24 Methyltransf_3,Methyltransferase domain ~ O-methyltransferase
m01oak57093CC,m01oak57093CC-t01.1,8.99,D:PF13921 D:PF00249,2x:Myb_DNA-bind_6 2x:Myb_DNA-binding,Myb-like DNA-binding domain ~ Myb-like DNA-binding domain
m01oak71764cf,m01oak71764cf-t01.1,8.98,r:PF13504 F:PF12799 r:PF13516 r:PF00560,2x:LRR_7 2x:LRR_4 4x:LRR_6 4x:LRR_1,Leucine rich repeat ~ Leucine Rich repeats (2 copies) ~ Leucine Rich repeat ~ Leucine Rich Repeat
m01oak75385Cz,m01oak75385Cz-t01.1,8.97,D:PF08282 D:PF00702,Hydrolase_3 Hydrolase,haloacid dehalogenase-like hydrolase ~ haloacid dehalogenase-like hydrolase
m01oak08454jC,m01oak08454jC-t01.1,8.96,AT2G02060,,Homeodomain-like superfamily protein
m01oak41862Ct,,8.96,,,
m01oak58749Cz,,8.94,,,
m01oak33311cC,,8.93,,,
m01oak18876CF,m01oak18876CF-t01.1,8.93,F:PF14363 F:PF05496 F:PF00004,AAA_assoc RuvB_N AAA,Domain associated at C-terminal with AAA ~ Holliday junction DNA helicase ruvB N-terminus ~ ATPase family associated with various cellular activities (AAA)
m01oak53873Cz,,8.92,,,
m01oak77144Cz,,8.91,,,
m01oak02138cC,m01oak02138cC-t01.1,8.91,F:PF03083,2x:MtN3_slv,Sugar efflux transporter for intercellular exchange
m01oak46880cf,,8.90,,,
m01oak47754cT,m01oak47754cT-t01.1,8.90,D:PF01357 D:PF03330,Pollen_allerg_1 DPBB_1,Pollen allergen ~ Rare lipoprotein A (RlpA)-like double-psi beta-barrel
m01oak05151cC,m01oak05151cC-t01.1,8.89,AT1G30135,JAZ8,jasmonate-zim-domain protein 8
m01oak62977ct,m01oak62977ct-t01.1,8.87,F:PF01734,Patatin,Patatin-like phospholipase
m01oak64421Cz,,8.85,,,
m01oak80450Cz,,8.84,,,
m01oak22352CT,,8.84,,,
m01oak25026Cz,,8.84,,,
m01oak20990cT,m01oak20990cT-t01.1,8.84,D:PF14541,TAXi_C,Xylanase inhibitor C-terminal
m01oak44422Ct,m01oak44422Ct-t01.1,8.83,F:PF03242,LEA_3,Late embryogenesis abundant protein
m01oak15734cC,m01oak15734cC-t01.1,8.82,AT2G27690,CYP94C1,"cytochrome P450, family 94, subfamily C, polypeptide 1"
m01oak29812cC,m01oak29812cC-t01.1,8.80,F:PF00657,Lipase_GDSL,GDSL-like Lipase/Acylhydrolase
m01oak02552CC,m01oak02552CC-t01.1,8.80,AT1G71691,,GDSL-like Lipase/Acylhydrolase superfamily protein
m01oak18148Cz,,8.80,,,
m01oak41624cC,m01oak41624cC-t01.1,8.80,AT2G39210,,Major facilitator superfamily protein
m01oak74220Cz,,8.79,,,
m01oak61316Cz,,8.78,,,
m01oak21790Cz,,8.77,,,
m01oak03806Cz,,8.77,,,
m01oak45653Cz,,8.75,,,
m01oak60556Cz,,8.74,,,
m01oak55666Cz,,8.74,,,
m01oak66845Cz,,8.72,,,
m01oak37889ji,m01oak37889ji-t01.1,8.69,D:PF00314,Thaumatin,Thaumatin family
m01oak23575cC,,8.69,,,
m01oak02235Cz,,8.69,,,
m01oak06683CC,,8.68,,,
m01oak55272Cz,,8.67,,,
m01oak16035cC,m01oak16035cC-t01.1,8.67,D:PF00182,Glyco_hydro_19,Chitinase class I
m01oak34551CT,m01oak34551CT-t01.1,8.67,AT1G54860,,Glycoprotein membrane precursor GPI-anchored
m01oak23320cC,m01oak23320cC-t01.1,8.66,AT1G12240,ATBETAFRUCT4,Glycosyl hydrolases family 32 protein
m01oak17991Cz,,8.66,,,
m01oak81029Cz,,8.65,,,
m01oak52595ci,m01oak52595ci-t01.1,8.65,D:PF01357 D:PF03330,Pollen_allerg_1 DPBB_1,Pollen allergen ~ Rare lipoprotein A (RlpA)-like double-psi beta-barrel
m01oak30276cC,m01oak30276cC-t01.1,8.65,F:PF00909,Ammonium_transp,Ammonium Transporter Family
m01oak50326cf,m01oak50326cf-t01.1,8.64,AT1G47510,5PTASE11,inositol polyphosphate 5-phosphatase 11
m01oak26685Cz,,8.64,,,
m01oak66015ci,m01oak66015ci-t01.1,8.64,F:PF02458,Transferase,Transferase family
m01oak43298Cz,,8.64,,,
m01oak41782Cz,,8.63,,,
m01oak58780Cz,,8.63,,,
m01oak65888Cf,m01oak65888Cf-t01.1,8.63,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak50489CC,m01oak50489CC-t01.1,8.61,AT5G09360,LAC14,laccase 14
m01oak25969Cz,,8.61,,,
m01oak74542Cz,,8.61,,,
m01oak58750Cz,,8.61,,,
m01oak59969Cz,,8.60,,,
m01oak34023Cz,,8.60,,,
m01oak70720Cz,,8.60,,,
m01oak23775Ct,m01oak23775Ct-t01.1,8.59,D:PF13668,Ferritin_2,Ferritin-like domain
m01oak59415CC,m01oak59415CC-t01.1,8.58,AT1G07900,LBD1,LOB domain-containing protein 1
m01oak10604Cz,,8.58,,,
m01oak53255Cz,,8.58,,,
m01oak65937cF,,8.57,,,
m01oak56077cC,,8.55,,,
m01oak46732Cz,,8.55,,,
m01oak24280cC,m01oak24280cC-t01.1,8.55,AT3G23240,ERF1,ethylene response factor 1
m01oak66030cC,m01oak66030cC-t01.1,8.55,F:PF00324 F:PF13520,AA_permease AA_permease_2,Amino acid permease ~ Amino acid permease
m01oak30555cf,,8.55,,,
m01oak28215Cz,,8.53,,,
m01oak27735Cz,,8.53,,,
m01oak17487cC,m01oak17487cC-t01.1,8.53,AT3G09220,LAC7,laccase 7
m01oak64583Cz,,8.53,,,
m01oak11322ci,m01oak11322ci-t01.1,8.52,F:PF03168,LEA_2,Late embryogenesis abundant protein
m01oak65179Cz,,8.52,,,
m01oak73750Cz,,8.51,,,
m01oak17966Cz,,8.51,,,
m01oak11006cC,,8.51,,,
m01oak06217Ct,m01oak06217Ct-t01.1,8.51,AT3G28340,GATL10,galacturonosyltransferase-like 10
m01oak79417Jz,,8.51,,,
m01oak01987CT,m01oak01987CT-t01.1,8.50,D:PF02798 D:PF13417 D:PF00043,GST_N GST_N_3 GST_C,"Glutathione S-transferase, N-terminal domain ~ Glutathione S-transferase, N-terminal domain ~ Glutathione S-transferase, C-terminal domain"
m01oak12896cC,m01oak12896cC-t01.1,8.50,F:PF00153,3x:Mito_carr,Mitochondrial carrier protein
m01oak62657cF,m01oak62657cF-t01.1,8.50,D:PF01565,FAD_binding_4,FAD binding domain
m01oak67697Jz,,8.50,,,
m01oak68887Ct,,8.50,,,
m01oak48560CT,m01oak48560CT-t01.1,8.49,AT4G17030,EXLB1,expansin-like B1
m01oak41420Cz,,8.49,,,
m01oak53461CF,m01oak53461CF-t01.1,8.49,AT4G24970,,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein"
m01oak56230CC,m01oak56230CC-t01.1,8.48,AT1G18100,E12A11,PEBP (phosphatidylethanolamine-binding protein) family protein
m01oak55892Cz,,8.47,,,
m01oak65433cC,m01oak65433cC-t01.1,8.47,AT1G04560,,AWPM-19-like family protein
m01oak66010cF,,8.45,,,
m01oak05169cC,m01oak05169cC-t01.1,8.44,AT5G54510,DFL1,Auxin-responsive GH3 family protein
m01oak26308CC,m01oak26308CC-t01.1,8.44,AT3G23230,,Integrase-type DNA-binding superfamily protein
m01oak50108Cz,,8.42,,,
m01oak30104Cz,,8.41,,,
m01oak18677ct,m01oak18677ct-t01.1,8.40,AT1G17860,,Kunitz family trypsin and protease inhibitor protein
m01oak60532Ct,m01oak60532Ct-t01.1,8.40,F:PF03018,Dirigent,Dirigent-like protein
m01oak20699CC,m01oak20699CC-t01.1,8.39,F:PF04749,PLAC8,PLAC8 family
m01oak82686Cz,,8.39,,,
m01oak30952cC,m01oak30952cC-t01.1,8.37,D:PF00067,p450,Cytochrome P450
m01oak68338Cf,m01oak68338Cf-t01.1,8.37,F:PF08263 r:PF13855 r:PF00560,LRRNT_2 LRR_8 LRR_1,Leucine rich repeat N-terminal domain ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak13954Ct,m01oak13954Ct-t01.1,8.37,F:PF00982 F:PF02358,Glyco_transf_20 Trehalose_PPase,Glycosyltransferase family 20 ~ Trehalose-phosphatase
m01oak45933cF,,8.36,,,
m01oak09077Cz,,8.36,,,
m01oak53024Cz,,8.35,,,
m01oak37408cC,m01oak37408cC-t01.1,8.35,AT1G05280,,Protein of unknown function (DUF604)
m01oak55243CT,m01oak55243CT-t01.1,8.34,D:PF08031,BBE,Berberine and berberine like
m01oak68327Cz,,8.34,,,
m01oak72750Cz,,8.33,,,
m01oak16891CC,m01oak16891CC-t01.1,8.32,AT1G03390,,HXXXD-type acyl-transferase family protein
m01oak34031Cz,,8.32,,,
m01oak78415Cz,,8.32,,,
m01oak64943Cz,,8.30,,,
m01oak50230Cz,,8.28,,,
m01oak73953Cz,,8.27,,,
m01oak78365Cz,,8.27,,,
m01oak34242Cz,,8.27,,,
m01oak57851Cz,,8.26,,,
m01oak72938CT,,8.25,,,
m01oak23883cC,m01oak23883cC-t01.1,8.25,F:PF05368 D:PF13460 F:PF01073 F:PF01370,NmrA NAD_binding_10 3Beta_HSD Epimerase,NmrA-like family ~ NADH(P)-binding ~ 3-beta hydroxysteroid dehydrogenase/isomerase family ~ NAD dependent epimerase/dehydratase family
m01oak40913Cz,,8.25,,,
m01oak25945CC,m01oak25945CC-t01.1,8.24,D:PF00190,2x:Cupin_1,Cupin
m01oak72168Cz,,8.24,,,
m01oak63421Cz,,8.24,,,
m01oak69091CT,m01oak69091CT-t01.1,8.24,F:PF02458,Transferase,Transferase family
m01oak26619ci,,8.24,,,
m01oak02937CT,m01oak02937CT-t01.1,8.23,F:PF00257,Dehydrin,Dehydrin
m01oak65403cC,m01oak65403cC-t01.1,8.23,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak46128Cz,,8.22,,,
m01oak70311cI,m01oak70311cI-t01.1,8.21,AT4G26420,GAMT1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak32404cC,m01oak32404cC-t01.1,8.20,F:PF03754,DUF313,Domain of unknown function (DUF313)
m01oak22444CC,m01oak22444CC-t01.1,8.19,AT4G30380,,Barwin-related endoglucanase
m01oak38826Cz,,8.18,,,
m01oak04934CC,m01oak04934CC-t01.1,8.18,AT3G54040,,PAR1 protein
m01oak40240CI,m01oak40240CI-t01.1,8.18,D:PF00314,Thaumatin,Thaumatin family
m01oak62469Jf,m01oak62469Jf-t01.1,8.18,F:PF01061,ABC2_membrane,ABC-2 type transporter
m01oak37643cC,m01oak37643cC-t01.1,8.17,F:PF14215 D:PF00010,bHLH-MYC_N HLH,bHLH-MYC and R2R3-MYB transcription factors N-terminal ~ Helix-loop-helix DNA-binding domain
m01oak16883cC,m01oak16883cC-t01.1,8.15,AT1G03790,SOM,Zinc finger C-x8-C-x5-C-x3-H type family protein
m01oak20377Ct,m01oak20377Ct-t01.1,8.15,D:PF00847,AP2,AP2 domain
m01oak26379CC,m01oak26379CC-t01.1,8.14,AT1G65690,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
m01oak19855CC,m01oak19855CC-t01.1,8.13,AT5G05220,,unknown protein
m01oak31464Cz,,8.13,,,
m01oak75855Cz,,8.11,,,
m01oak39333Cz,,8.11,,,
m01oak47358ci,m01oak47358ci-t01.1,8.11,F:PF00481,PP2C,Protein phosphatase 2C
m01oak02485CC,m01oak02485CC-t01.1,8.10,AT1G52690,,Late embryogenesis abundant protein (LEA) family protein
m01oak51353Cz,,8.10,,,
m01oak53122Cz,,8.10,,,
m01oak16729Cz,,8.09,,,
m01oak52172Cz,,8.09,,,
m01oak79182Cz,,8.09,,,
m01oak31859CC,m01oak31859CC-t01.1,8.09,F:PF12515 D:PF08282 F:PF00689 D:PF00690 F:PF13246 F:PF12710 F:PF00122 D:PF00702,CaATP_NAI Hydrolase_3 Cation_ATPase_C Cation_ATPase_N Hydrolase_like2 HAD E1-E2_ATPase Hydrolase,"Ca2+-ATPase N terminal autoinhibitory domain ~ haloacid dehalogenase-like hydrolase ~ Cation transporting ATPase, C-terminus ~ Cation transporter/ATPase, N-terminus ~ Putative hydrolase of sodium-potassium ATPase alpha subunit ~ haloacid dehalogenase-like hydrolase ~ E1-E2 ATPase ~ haloacid dehalogenase-like hydrolase"
m01oak15777Ci,m01oak15777Ci-t01.1,8.08,D:PF00332,Glyco_hydro_17,Glycosyl hydrolases family 17
m01oak46565cC,m01oak46565cC-t01.1,8.08,AT2G34500,CYP710A1,"cytochrome P450, family 710, subfamily A, polypeptide 1"
m01oak19004Ct,m01oak19004Ct-t01.1,8.07,D:PF00036 D:PF13833 D:PF13499 D:PF13202 D:PF13405,2x:EF-hand_1 3x:EF-hand_8 2x:EF-hand_7 3x:EF-hand_5 3x:EF-hand_6,EF hand ~ EF-hand domain pair ~ EF-hand domain pair ~ EF hand ~ EF-hand domain
m01oak67450CT,m01oak67450CT-t01.1,8.07,D:PF04564,U-box,U-box domain
m01oak27810cC,m01oak27810cC-t01.1,8.07,AT5G19600,SULTR3;5,sulfate transporter 3;5
m01oak76896Cz,,8.06,,,
m01oak46560cf,m01oak46560cf-t01.1,8.06,F:PF01494,FAD_binding_3,FAD binding domain
m01oak73637Cz,,8.05,,,
m01oak66506Jz,,8.05,,,
m01oak58353Cz,,8.05,,,
m01oak51053Cz,,8.04,,,
m01oak62251Cz,,8.04,,,
m01oak41978CC,m01oak41978CC-t01.1,8.04,AT4G39670,,Glycolipid transfer protein (GLTP) family protein
m01oak63270Ji,m01oak63270Ji-t01.1,8.03,r:PF13516 r:PF13855 r:PF00560,LRR_6 LRR_8 3x:LRR_1,Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak23170CT,m01oak23170CT-t01.1,8.01,D:PF00332,Glyco_hydro_17,Glycosyl hydrolases family 17
m01oak35299Cz,,8.00,,,
m01oak74427cF,,8.00,,,
m01oak70355jF,,8.00,,,
m01oak49505cF,m01oak49505cF-t01.1,7.99,F:PF05691,Raffinose_syn,Raffinose synthase or seed imbibition protein Sip1
m01oak77201Ci,m01oak77201Ci-t01.1,7.98,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak11659cC,m01oak11659cC-t01.1,7.98,AT5G25240,,unknown protein
m01oak40542cF,m01oak40542cF-t01.1,7.98,AT2G28210,ACA2,alpha carbonic anhydrase 2
m01oak38802Cz,,7.94,,,
m01oak17609cC,m01oak17609cC-t01.1,7.94,AT1G23550,SRO2,similar to RCD one 2
m01oak02827ct,,7.94,,,
m01oak07186CF,m01oak07186CF-t01.1,7.93,AT5G13220,JAZ10,jasmonate-zim-domain protein 10
m01oak04509cf,m01oak04509cf-t01.1,7.93,F:PF02458,Transferase,Transferase family
m01oak30057CC,m01oak30057CC-t01.1,7.93,AT1G29160,,Dof-type zinc finger DNA-binding family protein
m01oak64579Cz,,7.93,,,
m01oak50753cf,,7.92,,,
m01oak79704cF,,7.91,,,
m01oak33792Jc,m01oak33792Jc-t01.1,7.91,F:PF02365,NAM,No apical meristem (NAM) protein
m01oak03688cF,m01oak03688cF-t01.1,7.91,D:PF08545 D:PF00195 F:PF08392,ACP_syn_III Chal_sti_synt_N FAE1_CUT1_RppA,"3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III ~ Chalcone and stilbene synthases, N-terminal domain ~ FAE1/Type III polyketide synthase-like protein"
m01oak30787CC,m01oak30787CC-t01.1,7.90,AT5G12340,,unknown protein
m01oak09962cC,m01oak09962cC-t01.1,7.90,AT2G37430,,C2H2 and C2HC zinc fingers superfamily protein
m01oak08652cC,m01oak08652cC-t01.1,7.90,D:PF10591 D:PF00036 D:PF13833 D:PF13499 D:PF13202 D:PF13405,SPARC_Ca_bdg 3x:EF-hand_1 3x:EF-hand_8 2x:EF-hand_7 3x:EF-hand_5 4x:EF-hand_6,Secreted protein acidic and rich in cysteine Ca binding region ~ EF hand ~ EF-hand domain pair ~ EF-hand domain pair ~ EF hand ~ EF-hand domain
m01oak15665Cz,,7.89,,,
m01oak10166cC,m01oak10166cC-t01.1,7.89,F:PF00396 D:PF08246 D:PF00112,Granulin Inhibitor_I29 Peptidase_C1,Granulin ~ Cathepsin propeptide inhibitor domain (I29) ~ Papain family cysteine protease
m01oak31972CC,m01oak31972CC-t01.1,7.89,F:PF07224 D:PF00561 D:PF12695 D:PF12697,Chlorophyllase Abhydrolase_1 Abhydrolase_5 Abhydrolase_6,Chlorophyllase ~ alpha/beta hydrolase fold ~ Alpha/beta hydrolase family ~ Alpha/beta hydrolase family
m01oak58161Cz,m01oak58161Cz-t01.1,7.89,F:PF08370,PDR_assoc,Plant PDR ABC transporter associated
m01oak75502Ji,m01oak75502Ji-t01.1,7.89,D:PF01476,2x:LysM,LysM domain
m01oak68311Cz,,7.88,,,
m01oak73186cF,m01oak73186cF-t01.1,7.88,D:PF01565,FAD_binding_4,FAD binding domain
m01oak14690Cz,,7.88,,,
m01oak77806cC,m01oak77806cC-t01.1,7.87,D:PF00043,GST_C,"Glutathione S-transferase, C-terminal domain"
m01oak82215Cz,,7.87,,,
m01oak81280Cz,,7.87,,,
m01oak25944cC,,7.87,,,
m01oak64071Jz,,7.86,,,
m01oak45985Cz,,7.85,,,
m01oak20795Jt,m01oak20795Jt-t01.1,7.85,D:PF00732,GMC_oxred_N,GMC oxidoreductase
m01oak30662Ct,m01oak30662Ct-t01.1,7.84,F:PF00060 D:PF00497,Lig_chan SBP_bac_3,"Ligand-gated ion channel ~ Bacterial extracellular solute-binding proteins, family 3"
m01oak63662Cz,,7.84,,,
m01oak30961CC,m01oak30961CC-t01.1,7.84,AT3G20580,COBL10,COBRA-like protein 10 precursor
m01oak59468CF,,7.83,,,
m01oak48307CC,,7.81,,,
m01oak74493Cz,,7.81,,,
m01oak46844cC,m01oak46844cC-t01.1,7.80,AT2G46760,,"D-arabinono-1,4-lactone oxidase family protein"
m01oak69876JC,,7.80,,,
m01oak19396cf,m01oak19396cf-t01.1,7.79,D:PF00314,Thaumatin,Thaumatin family
m01oak59679Cz,,7.78,,,
m01oak82008Cz,,7.78,,,
m01oak51277Cz,,7.78,,,
m01oak67011Cz,,7.77,,,
m01oak09975Ct,m01oak09975Ct-t01.1,7.77,AT2G22620,,Rhamnogalacturonate lyase family protein
m01oak82683Cz,,7.76,,,
m01oak64647Cz,,7.76,,,
m01oak39664JC,m01oak39664JC-t01.1,7.74,D:PF00847,AP2,AP2 domain
m01oak41257cC,m01oak41257cC-t01.1,7.73,D:PF00450,Peptidase_S10,Serine carboxypeptidase
m01oak27098cC,m01oak27098cC-t01.1,7.73,F:PF03547,Mem_trans,Membrane transport protein
m01oak49580Cz,,7.73,,,
m01oak13690cC,m01oak13690cC-t01.1,7.73,AT5G41040,,HXXXD-type acyl-transferase family protein
m01oak73250Cz,,7.72,,,
m01oak74050Cz,,7.72,,,
m01oak43960Cz,,7.69,,,
m01oak39142Cz,m01oak39142Cz-t01.1,7.69,AT3G27890,NQR,NADPH:quinone oxidoreductase
m01oak61973Cz,,7.69,,,
m01oak34502CF,m01oak34502CF-t01.1,7.69,AT2G42760,,unknown protein
m01oak09284Cz,,7.69,,,
